ticker,date,sector,pct_positive,pct_negative,pct_neutral,sentiment_score,non_neutral_rate,pos_to_neg_ratio,neutral_adjusted_score,sentiment_score_neg2,sentiment_score_neg3,uncertainty_rate,risk_language_rate,word_count,sentence_count,call_date,actual_date,CAR0,CAR+1,CAR+3,CAR+5,CAR+10,CAR-1,CAR-5,CAR-10,label,label_10d
AAPL,2023-02-02,Technology,0.38,0.12,0.5,0.26,0.5,3.1405,0.519,0.14,0.02,4.0186,9.4186,7963,150,2023-02-02,2023-02-02,0.008267,0.035029,0.029209,0.023581,0.041112,0.022506,0.01793,0.042549,1,1
AAPL,2023-05-04,Technology,0.4067,0.1133,0.48,0.2933,0.52,3.5569,0.563,0.18,0.0667,5.3346,5.4559,8248,150,2023-05-04,2023-05-04,0.009881,0.028414,0.021753,0.030734,0.022511,-0.00283,0.002095,0.011228,1,1
AAPL,2023-08-03,Technology,0.4533,0.1133,0.4333,0.34,0.5667,3.965,0.5989,0.2267,0.1133,4.7204,3.8732,8262,150,2023-08-03,2023-08-03,-0.003874,-0.043497,-0.059275,-0.062521,-0.060625,-0.004456,-0.002543,-0.002762,0,0
AAPL,2023-11-02,Technology,0.5,0.0867,0.4133,0.4133,0.5867,5.7034,0.7033,0.3267,0.24,4.0295,3.7992,8686,150,2023-11-02,2023-11-02,0.001881,-0.014304,0.009611,0.020107,0.024576,0.001529,0.019854,0.001872,1,1
AAPL,2024-02-01,Technology,0.48,0.0733,0.4467,0.4067,0.5533,6.4574,0.7336,0.3333,0.26,4.5529,3.6676,7907,150,2024-02-01,2024-02-01,0.006169,-0.015933,0.003287,-0.010829,-0.040985,0.000252,-0.040045,-0.036058,0,0
AAPL,2024-05-02,Technology,0.46,0.12,0.42,0.34,0.58,3.8017,0.5852,0.22,0.1,5.8944,3.8494,8313,150,2024-05-02,2024-05-02,0.001269,0.047421,0.030174,0.036715,0.05179,0.012679,0.015424,0.024829,1,1
AAPL,2024-08-01,Technology,0.4467,0.0667,0.4867,0.38,0.5133,6.601,0.7388,0.3133,0.2467,5.8809,3.063,8162,150,2024-08-01,2024-08-01,-0.009485,0.025488,-0.012555,-0.000365,0.011791,-0.00259,-0.004543,-0.0085,0,1
AAPL,2024-10-31,Technology,0.4933,0.0333,0.4733,0.46,0.5267,14.3689,0.8718,0.4267,0.3933,6.5223,1.5998,8126,150,2024-10-31,2024-10-31,-0.002933,-0.0175,-0.025064,-0.040479,-0.032118,0.001394,-0.001911,-0.003337,0,0
AAPL,2025-01-30,Technology,0.5,0.0333,0.4667,0.4667,0.5333,14.5631,0.8734,0.4333,0.4,6.0479,2.9622,8102,150,2025-01-30,2025-01-30,-0.006313,-0.00137,-0.014773,-0.020509,0.009949,-0.012762,0.070006,-0.021859,0,1
AAPL,2025-05-01,Technology,0.4467,0.0333,0.52,0.4133,0.48,13.0097,0.8593,0.38,0.3467,8.1429,4.1322,8228,150,2025-05-01,2025-05-01,0.02367,-0.052206,-0.070017,-0.086008,-0.064748,-0.003228,0.002208,0.035643,0,0
AAPL,2025-07-31,Technology,0.46,0.0467,0.4933,0.4133,0.5067,9.6503,0.8142,0.3667,0.32,5.9423,2.1829,8246,150,2025-07-31,2025-07-31,0.007128,-0.008613,-0.0159,0.059759,0.102364,-0.003328,-0.025269,-0.018098,1,1
AAPL,2025-10-30,Technology,0.5267,0.02,0.4533,0.5067,0.5467,25.0794,0.9251,0.4867,0.4667,4.4914,2.9133,8238,150,2025-10-30,2025-10-30,0.003782,-0.007075,0.001741,0.007998,0.018145,0.017301,0.033522,0.06774,1,1
